id,question,reference_answer,candidate_answer,golden_correct
56f8bbb09e9bad19000a03df,What did these Lutheran clerics use as fuel to bolster the Policies of the Nazis?,Luther's hostile publications,Luther's hostile publications,correct
572818f54b864d190016446d,Stephen Eilmann asks why show public civil disobedience instead what is a better idea?,covert lawbreaking,secret lawbreaking,correct
56bf38383aeaaa14008c956d,What was the number of 17 interceptions that Peyton Manning had by end of the year?,nine,9,correct
572a0a391d046914007796e3,What is it estimated that about half of all variation in homicide rates can be accounted for by?,differences in the amount of inequality,differences in poverty rates,incorrect
5726975c708984140094cb21,Which court argued that the Treaty of Rome did not prevent energy nationalism?,the Court of Justice,The European Court of Justice,correct
56d98f0ddc89441400fdb55c,Who decided not to approve paying for renovations at Sun Life Stadium that the league wanted for them to do to host Super Bowl 50?,Florida legislature,The Florida state legislature,correct
56f811bdaef2371900625d9f,Which Pope sought to undermine Luther's theories?,Pope Leo X,Leo X,correct
572fd1c4947a6a140053cd03,How many parts does the consideration of a bill in Stage 3 have?,two,two,correct
5730982f396df919000961e4,When was the UMC founded?,1968,in 1968,correct
56dfb5f5231d4119001abcb8,what did he do for $2 a day?,ditch digger,He worked as a ditch digger,correct
57111992b654c5140001fb47,When was the Old Truman Brewery founded?,1724,1898,incorrect
56e1b169cd28a01900c67a73,"In considering Turing machines and alternate variables, what measurement left unaffected by conversion between machine models?",computational power,memory usage,incorrect
57378e311c456719005744b0,When did the origins of magnetic and electric fields occur?,1864,1864,correct
5727f746ff5b5019007d9962,What type of special Doctor Who shows have been shown each year since 2005?,Christmas Day specials,Christmas specials,correct
56de4a89cffd8e1900b4b7bd,What is the Norman architecture idiom?,Romanesque,The Romanesque style,correct
57265bdfdd62a815002e82a2,Which full-sized model cars were not popular?,"Chevrolet Bel Air, and Ford Galaxie 500",the Volkswagen Beetle,incorrect
56e769dc00c9c71400d770ea,A statement made by Chris Keates caused issues with whom?,child protection and parental rights groups,teachers' unions,incorrect
5733d7cbd058e614000b63ab,"In between French and British, what groups controlled land?",native tribes,Native American tribes,correct
571cdcb85efbb31900334e0e,What function do compounds like phenol and acetone serve in the manufacture of many other substances?,feeder materials,waste byproducts,incorrect
572ff293947a6a140053ce52,What did industry do to the Rhine until the 1980s?,pollution,reduced pollution,incorrect
572811434b864d1900164390,Who played the companion named Donna Noble?,Catherine Tate,Catherine Tate,correct
57286bf84b864d19001649d5,"What alumni wrote ""The Good War""?",Studs Terkel,Studs Terkel,correct
56bec9e83aeaaa14008c9460,Graham Gano kicked a field goal of how many yards?,39,39 yards,correct
57291fb4af94a219006aa0b4,Where did the first shipment of minerals ship from?,Base Titanium,Mombasa,incorrect
57276690708984140094dd02,What entity was Touchstone Television reorganized into in 2007?,ABC Studios,ABC Studios,correct
57266ec2dd62a815002e84a2,What street does Nikolaus Pevsner think is one of the finest in England?,Grey Street,Grey Street in Newcastle,correct
572975511d046914007794aa,What do C4 plants need?,more ATP than NADPH,more NADPH than ATP,incorrect
5726db5add62a815002e92d6,What is the name of the Latin translation of Dioscorides' book?,De Materia Medica,De Materia Medica,correct
5727780a5951b619008f8a9f,What was the national viewership reach of ABC in 1958?,between 10% and 18%,between 18% and 80%,incorrect
56d98d0adc89441400fdb54e,What one word did the NFL commissioner use to describe what Super Bowl 50 was intended to be?,spectacular,spectacular,correct
57287ee3ff5b5019007da274,By what year was selling children into slavery common among the Mongols?,1290,1206,incorrect
57376a1bc3c5551400e51ec4,What do forces have with regard to additive quantities?,magnitude and direction,direction and magnitude,correct
56bf6f743aeaaa14008c9631,Which late night comedy host show played immediately after Super Bowl 50 ended?,The Late Show with Stephen Colbert,The Late Show with Stephen Colbert,correct
572a2224af94a219006aa826,Why would rampant violence prevent people from going to work?,fear of their lives,lack of transportation,incorrect
57096505ed30961900e84084,What does connecting different Sky Q boxes enable them to do?,share recordings,watch live TV,incorrect
572758c3dd62a815002e9b7b,What are alternate English spelling of Genghis?,"Chinghiz, Chinghis, and Chingiz",Genghis,incorrect
5730eb5b497a881900248a43,Which state has the largest number of members?,Texas,California,incorrect
570d2f5bfed7b91900d45cd0,On what is Victoria's constitution based ?,1855 colonial constitution,the United States Constitution,incorrect
572ff932a23a5019007fcbd7,The idea that Islam can be apolitical isn't able to be embraced by whom?,its supporters,secular governments,incorrect
56f84a60aef2371900625fa0,What did Schurf's letter say  Luther's return caused?,joy,happiness,correct
57297ed93f37b31900478463,What is the name of another compelling continuation of the Fermat primality test?,Miller-Rabin,the Miller-Rabin test,correct
572836732ca10214002da0e0,Who began publishing Doctor Who novels in 2005?,BBC Books,BBC Books,correct
572698d7dd62a815002e8a99,What was the first building erected that still forms part of the museum?,Sheepshanks Gallery,the East Wing,incorrect
5725eb8a38643c19005ace80,What do a great majority of rocks sampled from the moon show?,impact process effects,effects of impact processes,correct
5728dafe3acd2414000e005e,Who is to blame for acting unjustly?,individuals,the individual,correct
5725f16f89a1e219009ac0ce,How much of the population of Earth ended up seeing the images of the Earth and the Moon?,one-quarter,25%,correct
57290b21af94a219006a9fd1,Where is Kenya place on the scale in 2012?,139th,139th,correct
572f5703a23a5019007fc577,What is the other country the Rhine separates Switzerland to?,Austria,Austria,correct
57294279af94a219006aa20d,What Senate committee did Singer speak to in July 2000?,"United States Senate Committee on Commerce, Science and Transportation",the Senate Commerce Committee,correct
56e77c6737bdd419002c401f,What type of mentorship does the LDS Church focus on?,spiritual,financial,incorrect
